prompt,response
"temperature=15.0, humidity=20.0, light_lux=0, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=15.0, humidity=20.0, light_lux=0, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=15.0, humidity=20.0, light_lux=0, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, low humidity, low light. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=15.0, humidity=20.0, light_lux=100, soil_moisture=10","Health: High Stress. Diagnosis: Detected: dry soil, low humidity, low light. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=15.0, humidity=20.0, light_lux=100, soil_moisture=30","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=15.0, humidity=20.0, light_lux=100, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=15.0, humidity=20.0, light_lux=100, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=15.0, humidity=20.0, light_lux=100, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, low humidity, low light. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=15.0, humidity=20.0, light_lux=500, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low humidity. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture."
"temperature=15.0, humidity=20.0, light_lux=500, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=15.0, humidity=20.0, light_lux=500, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=15.0, humidity=20.0, light_lux=500, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=15.0, humidity=20.0, light_lux=500, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low humidity. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry."
"temperature=15.0, humidity=20.0, light_lux=1000, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low humidity. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture."
"temperature=15.0, humidity=20.0, light_lux=1000, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=15.0, humidity=20.0, light_lux=1000, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=15.0, humidity=20.0, light_lux=1000, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=15.0, humidity=20.0, light_lux=1000, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low humidity. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry."
"temperature=15.0, humidity=20.0, light_lux=1500, soil_moisture=10","Health: High Stress. Diagnosis: Detected: dry soil, low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture. Diffuse sunlight or use sheer curtains."
"temperature=15.0, humidity=20.0, light_lux=1500, soil_moisture=30","Health: Moderate Stress. Diagnosis: Detected: low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Diffuse sunlight or use sheer curtains."
"temperature=15.0, humidity=20.0, light_lux=1500, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Diffuse sunlight or use sheer curtains."
"temperature=15.0, humidity=20.0, light_lux=1500, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Diffuse sunlight or use sheer curtains."
"temperature=15.0, humidity=20.0, light_lux=1500, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry. Diffuse sunlight or use sheer curtains."
"temperature=15.0, humidity=40.0, light_lux=0, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=15.0, humidity=40.0, light_lux=0, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=40.0, light_lux=0, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=40.0, light_lux=0, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=40.0, light_lux=0, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low light. Recommendation: Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=15.0, humidity=40.0, light_lux=100, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=15.0, humidity=40.0, light_lux=100, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=40.0, light_lux=100, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=40.0, light_lux=100, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=40.0, light_lux=100, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low light. Recommendation: Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=15.0, humidity=40.0, light_lux=500, soil_moisture=10",Health: Moderate Stress. Diagnosis: Detected: dry soil. Recommendation: Water thoroughly and monitor moisture.
"temperature=15.0, humidity=40.0, light_lux=500, soil_moisture=30",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=40.0, light_lux=500, soil_moisture=50",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=40.0, light_lux=500, soil_moisture=70",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=40.0, light_lux=500, soil_moisture=90",Health: Moderate Stress. Diagnosis: Detected: soggy soil. Recommendation: Ensure drainage and let soil dry.
"temperature=15.0, humidity=40.0, light_lux=1000, soil_moisture=10",Health: Moderate Stress. Diagnosis: Detected: dry soil. Recommendation: Water thoroughly and monitor moisture.
"temperature=15.0, humidity=40.0, light_lux=1000, soil_moisture=30",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=40.0, light_lux=1000, soil_moisture=50",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=40.0, light_lux=1000, soil_moisture=70",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=40.0, light_lux=1000, soil_moisture=90",Health: Moderate Stress. Diagnosis: Detected: soggy soil. Recommendation: Ensure drainage and let soil dry.
"temperature=15.0, humidity=40.0, light_lux=1500, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Water thoroughly and monitor moisture."
"temperature=15.0, humidity=40.0, light_lux=1500, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=40.0, light_lux=1500, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=40.0, light_lux=1500, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=40.0, light_lux=1500, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Ensure drainage and let soil dry."
"temperature=15.0, humidity=65.0, light_lux=0, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=15.0, humidity=65.0, light_lux=0, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=65.0, light_lux=0, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=65.0, light_lux=0, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=65.0, light_lux=0, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low light. Recommendation: Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=15.0, humidity=65.0, light_lux=100, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=15.0, humidity=65.0, light_lux=100, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=65.0, light_lux=100, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=65.0, light_lux=100, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=65.0, light_lux=100, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low light. Recommendation: Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=15.0, humidity=65.0, light_lux=500, soil_moisture=10",Health: Moderate Stress. Diagnosis: Detected: dry soil. Recommendation: Water thoroughly and monitor moisture.
"temperature=15.0, humidity=65.0, light_lux=500, soil_moisture=30",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=65.0, light_lux=500, soil_moisture=50",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=65.0, light_lux=500, soil_moisture=70",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=65.0, light_lux=500, soil_moisture=90",Health: Moderate Stress. Diagnosis: Detected: soggy soil. Recommendation: Ensure drainage and let soil dry.
"temperature=15.0, humidity=65.0, light_lux=1000, soil_moisture=10",Health: Moderate Stress. Diagnosis: Detected: dry soil. Recommendation: Water thoroughly and monitor moisture.
"temperature=15.0, humidity=65.0, light_lux=1000, soil_moisture=30",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=65.0, light_lux=1000, soil_moisture=50",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=65.0, light_lux=1000, soil_moisture=70",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=65.0, light_lux=1000, soil_moisture=90",Health: Moderate Stress. Diagnosis: Detected: soggy soil. Recommendation: Ensure drainage and let soil dry.
"temperature=15.0, humidity=65.0, light_lux=1500, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Water thoroughly and monitor moisture."
"temperature=15.0, humidity=65.0, light_lux=1500, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=65.0, light_lux=1500, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=65.0, light_lux=1500, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=65.0, light_lux=1500, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Ensure drainage and let soil dry."
"temperature=15.0, humidity=80.0, light_lux=0, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=15.0, humidity=80.0, light_lux=0, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=80.0, light_lux=0, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=80.0, light_lux=0, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=80.0, light_lux=0, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low light. Recommendation: Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=15.0, humidity=80.0, light_lux=100, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=15.0, humidity=80.0, light_lux=100, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=80.0, light_lux=100, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=80.0, light_lux=100, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low light. Recommendation: Move closer to window or use grow lights.
"temperature=15.0, humidity=80.0, light_lux=100, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low light. Recommendation: Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=15.0, humidity=80.0, light_lux=500, soil_moisture=10",Health: Moderate Stress. Diagnosis: Detected: dry soil. Recommendation: Water thoroughly and monitor moisture.
"temperature=15.0, humidity=80.0, light_lux=500, soil_moisture=30",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=80.0, light_lux=500, soil_moisture=50",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=80.0, light_lux=500, soil_moisture=70",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=80.0, light_lux=500, soil_moisture=90",Health: Moderate Stress. Diagnosis: Detected: soggy soil. Recommendation: Ensure drainage and let soil dry.
"temperature=15.0, humidity=80.0, light_lux=1000, soil_moisture=10",Health: Moderate Stress. Diagnosis: Detected: dry soil. Recommendation: Water thoroughly and monitor moisture.
"temperature=15.0, humidity=80.0, light_lux=1000, soil_moisture=30",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=80.0, light_lux=1000, soil_moisture=50",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=80.0, light_lux=1000, soil_moisture=70",Health: Healthy. Diagnosis: All sensor readings are within optimal ranges. Recommendation: Maintain current conditions and monitor routinely.
"temperature=15.0, humidity=80.0, light_lux=1000, soil_moisture=90",Health: Moderate Stress. Diagnosis: Detected: soggy soil. Recommendation: Ensure drainage and let soil dry.
"temperature=15.0, humidity=80.0, light_lux=1500, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Water thoroughly and monitor moisture."
"temperature=15.0, humidity=80.0, light_lux=1500, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=80.0, light_lux=1500, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=80.0, light_lux=1500, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains.
"temperature=15.0, humidity=80.0, light_lux=1500, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Ensure drainage and let soil dry."
"temperature=15.0, humidity=90.0, light_lux=0, soil_moisture=10","Health: High Stress. Diagnosis: Detected: dry soil, high humidity, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=0, soil_moisture=30","Health: Moderate Stress. Diagnosis: Detected: high humidity, low light. Recommendation: Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=0, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: high humidity, low light. Recommendation: Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=0, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: high humidity, low light. Recommendation: Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=0, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, high humidity, low light. Recommendation: Ensure drainage and let soil dry. Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=100, soil_moisture=10","Health: High Stress. Diagnosis: Detected: dry soil, high humidity, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=100, soil_moisture=30","Health: Moderate Stress. Diagnosis: Detected: high humidity, low light. Recommendation: Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=100, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: high humidity, low light. Recommendation: Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=100, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: high humidity, low light. Recommendation: Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=100, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, high humidity, low light. Recommendation: Ensure drainage and let soil dry. Move closer to window or use grow lights. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=500, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, high humidity. Recommendation: Water thoroughly and monitor moisture. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=500, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: high humidity. Recommendation: Increase airflow and reduce watering.
"temperature=15.0, humidity=90.0, light_lux=500, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: high humidity. Recommendation: Increase airflow and reduce watering.
"temperature=15.0, humidity=90.0, light_lux=500, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: high humidity. Recommendation: Increase airflow and reduce watering.
"temperature=15.0, humidity=90.0, light_lux=500, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, high humidity. Recommendation: Ensure drainage and let soil dry. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=1000, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, high humidity. Recommendation: Water thoroughly and monitor moisture. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=1000, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: high humidity. Recommendation: Increase airflow and reduce watering.
"temperature=15.0, humidity=90.0, light_lux=1000, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: high humidity. Recommendation: Increase airflow and reduce watering.
"temperature=15.0, humidity=90.0, light_lux=1000, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: high humidity. Recommendation: Increase airflow and reduce watering.
"temperature=15.0, humidity=90.0, light_lux=1000, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, high humidity. Recommendation: Ensure drainage and let soil dry. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=1500, soil_moisture=10","Health: High Stress. Diagnosis: Detected: dry soil, high humidity, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Water thoroughly and monitor moisture. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=1500, soil_moisture=30","Health: Moderate Stress. Diagnosis: Detected: high humidity, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=1500, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: high humidity, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=1500, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: high humidity, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Increase airflow and reduce watering."
"temperature=15.0, humidity=90.0, light_lux=1500, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, high humidity, light intensity too high. Recommendation: Diffuse sunlight or use sheer curtains. Ensure drainage and let soil dry. Increase airflow and reduce watering."
"temperature=22.0, humidity=20.0, light_lux=0, soil_moisture=10","Health: High Stress. Diagnosis: Detected: dry soil, low humidity, low light. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=0, soil_moisture=30","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=0, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=0, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=0, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, low humidity, low light. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=100, soil_moisture=10","Health: High Stress. Diagnosis: Detected: dry soil, low humidity, low light. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=100, soil_moisture=30","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=100, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=100, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: low humidity, low light. Recommendation: Use a pebble tray or humidifier. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=100, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, low humidity, low light. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry. Move closer to window or use grow lights."
"temperature=22.0, humidity=20.0, light_lux=500, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low humidity. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture."
"temperature=22.0, humidity=20.0, light_lux=500, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=22.0, humidity=20.0, light_lux=500, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=22.0, humidity=20.0, light_lux=500, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=22.0, humidity=20.0, light_lux=500, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low humidity. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry."
"temperature=22.0, humidity=20.0, light_lux=1000, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low humidity. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture."
"temperature=22.0, humidity=20.0, light_lux=1000, soil_moisture=30",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=22.0, humidity=20.0, light_lux=1000, soil_moisture=50",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=22.0, humidity=20.0, light_lux=1000, soil_moisture=70",Health: Moderate Stress. Diagnosis: Detected: low humidity. Recommendation: Use a pebble tray or humidifier.
"temperature=22.0, humidity=20.0, light_lux=1000, soil_moisture=90","Health: Moderate Stress. Diagnosis: Detected: soggy soil, low humidity. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry."
"temperature=22.0, humidity=20.0, light_lux=1500, soil_moisture=10","Health: High Stress. Diagnosis: Detected: dry soil, low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Water thoroughly and monitor moisture. Diffuse sunlight or use sheer curtains."
"temperature=22.0, humidity=20.0, light_lux=1500, soil_moisture=30","Health: Moderate Stress. Diagnosis: Detected: low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Diffuse sunlight or use sheer curtains."
"temperature=22.0, humidity=20.0, light_lux=1500, soil_moisture=50","Health: Moderate Stress. Diagnosis: Detected: low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Diffuse sunlight or use sheer curtains."
"temperature=22.0, humidity=20.0, light_lux=1500, soil_moisture=70","Health: Moderate Stress. Diagnosis: Detected: low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Diffuse sunlight or use sheer curtains."
"temperature=22.0, humidity=20.0, light_lux=1500, soil_moisture=90","Health: High Stress. Diagnosis: Detected: soggy soil, low humidity, light intensity too high. Recommendation: Use a pebble tray or humidifier. Ensure drainage and let soil dry. Diffuse sunlight or use sheer curtains."
"temperature=22.0, humidity=40.0, light_lux=0, soil_moisture=10","Health: Moderate Stress. Diagnosis: Detected: dry soil, low light. Recommendation: Water thoroughly and monitor moisture. Move closer to window or use grow lights."
